Response ID,Country,City,Region,Home ZIP,Work ZIP,Are you a resident of a nearby neighborhood?,Do you own a business on Telegraph?,Do you work on or near Telegraph?,"Do you visit the stores, restaurants and bars, or use the services on Telegraph Avenue?",Do you commute via Telegraph Avenue?,How often do you visit or pass through Telegraph Avenue?,ModeRank1,ModeRank2,ModeRank3,ModeRank4,ModeRank5,ModeRank6,ModeRankNR,Rank of driving among modes of transport 1,Rank of AC Transit among modes of transport 1,Rank of BART among modes of transport 1,Rank of bicycle  among modes of transport 1,Rank of walking  among modes of transport 1,"Rank of ""other""  among modes of transport 1",What do you like best about Telegraph Avenue?,What do you wish were different about Telegraph Avenue?,Tgraph is good for pedestrians,Tgraph is good for bicyclists,Tgraph is good for motorists,Tgraph is good for transit riders,Do you feel that the existing configuration adequately balances the needs of all users (pedestrians/cyclists/motorists/transit riders)?,ImprRank1,ImprRank2,ImproRank3,ImprRank4,ImprRankNR,Rank driving should have in planned improvements 1,Rank public transit should have in planned improvements 1,Rank bicycling should have in planned improvements 1,Rank walking should have in planned improvements 1,Ideas to help motorists,Ideas to help transit riders,Ideas to help bicyclists,Ideas to help pedestrians,Comments on the draft vision statement,"What streets in Oakland, the Bay Area, or anywhere in the world do you wish Telegraph Avenue more closely resembled? What about those streets do you like? What aspects of those streets would you most like to see on Telegraph Avenue?",Is there anything we missed? Please share any additional comments you have about Telegraph Avenue.
11,United States,Philadelphia,PA,94609,,Yes,No/blank,No/blank,Yes,Yes,A few times per week,Biking,Walking,ACT,Driving,BART,,Other,4,3,5,1,2,,Lots of nice shops and interesting places.,Safer to cross. Easier/safer to bike.,Disagree,Disagree,Strongly Agree,Agree,No,Walking,Biking,Transit,Driving,,4,3,2,1,Easy enough.,Buses slow and bunch Southbound in the evening.,no lanes for a lot of it. Poor motorist behavior.,All of it. Around 51st is worst.,,Parts of College and Piedmont ave are good for pedestrians.,
12,United States,San Francisco,CA,94618,94104,Yes,No/blank,No/blank,Yes,No/blank,A few times per month,Walking,Biking,Driving,BART,ACT,,Other,3,5,4,2,1,,Street trees; the variety of businesses along the Avenue; very few business establishments with parking lots in front between storefronts and sidewalk; transit; directness of route,"Repaved and striped with bike lanes; a ""road diet"" to decrease the width of the street in the sections above 27th St; addition of BRT all the way to Berkeley; medians; wider sidewalk areas to accommodate more peds and businesses",Agree,Disagree,Agree,Agree,No,Transit,Biking,Walking,Driving,,4,1,2,3,repaving; clearer striping so drivers can better see cyclists and pedestrians; traffic calming measures top ensure safe speeds; clarification of the intersection of Shattuck and Telegraph,Bus Rapid Transit,dedicated bike lanes,repaiting crosswalks; medians and refuge islands; traffic calming measures; lower street lighting to pedestrian scale,"Recommendations: if planning for BRT is not inherent in the statement, make it explicit; amend to express that improvements will give preference to bikes, peds and transit (that is, all modes should not be considered equally).  Praise: I LOVE that ""parking"" appears nowhere in the statement!","I would say University Avenue in Berkeley is a reasonable ideal to strive for.  Yes, I love Las Ramblas, but Im a realist.","Although I realize this is a streetscape project, I would recommend that Telegraph Avenue be envisioned with more density and slightly higher buildings.  That will really activate the street and the transit"
13,United States,Oakland,CA,94612,94612,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,Walking,BART,Biking,Driving,ACT,Other,,4,5,2,3,1,6,"I like the stretches with dense small shops/restaurants. It feels very walkable around 20th, KONO, Temescal, Oasis, and near campus.","The parts that are just long stretches of big businesses or vacant lots that don't have anything for a pedestrian to do. These don't feel safe, and make me just want to hop in my car.",Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Transit,Walking,Biking,Driving,,4,1,3,2,"Telegraph is awesome. If you want to drive on it, you should have to slow down and enjoy it.","priority signal timing for buses, bus-only lanes",protected green bike lanes,"lighting, small business/popup incentives (fill vacancies)",Fine. Bus stop size doesn't really bother me. It's once the buses are moving that their lack of priority becomes obvious.,"Market street feels similar, or the direction Market is headed. Lots of uses, lots of street width, and a shift towards non-private auto priority.","The pedestrian experience hinges on what's happening past the sidewalk. Consider tenant occupancy, vacancies, increased building heights, and other land use changes that would make the space more pedestrian friendly."
14,United States,Oakland,CA,94610,94607,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,Driving,ACT,,BART,Biking,Walking,Other,1,2,4,5,6,,"Bars, restaurants, Fox Theater","More businesses, more housing, better bike access",Agree,Disagree,Agree,No Opinion,No,Driving,Transit,Walking,Biking,,1,2,4,3,,,"cycle track, protected bike lanes","more businesses, more residents -> more pedestrians","There is a parallel freeway for handling through traffic - local, pedestrian and bicycle access should be prioritized.",,Empty lots and surface parking lots create dead zones for pedestrians - Telegraph needs more of everything.
15,United States,Mountain View,CA,94611,94704,Yes,No/blank,No/blank,Yes,Yes,Daily,Biking,Walking,Driving,BART,ACT,Other,,3,5,4,1,2,6,"A wide diversity of neighborhoods, uses, and businesses.",I wish the street was more inviting for all users.,Disagree,Strongly Disagree,No Opinion,No Opinion,No,Walking,Biking,Transit,Driving,,4,3,2,1,Synchronize all signals for 25 mph average speed,More bus shelters,bicycle infrastructure along the whole route that doesn't drop off at any point,Traffic calming greater than bulb-outs at crosswalks to visually narrow the street for drivers,Driver safety needs to take priority over driver convenience.,,The reduction in driver collisions needs to take precedent over vehicle LOS. The cost savings from reduced injuries/deaths vastly outweighs any of the spillover effects (if any) from a reduced LOS for vehicle throughput.
16,United States,San Francisco,CA,94611,,Yes,No/blank,No/blank,Yes,No/blank,A few times per month,BARTBikingWalking,,,,,DrivingACT,Other,6,6,1,1,1,,"Nice fun street, good businesses",Cycletracks for bikers,Disagree,Disagree,Strongly Agree,No Opinion,No,Walking,Transit,Biking,Driving,,4,2,3,1,Removal of driving lanes,"Transit only lanes, increased frequency",Cycletracks,"Wider sidewalks, trees",,"More like the streets of Copenhagen, better incorporation of all travel modes",
17,United States,,,94611,94612,No/blank,No/blank,Yes,Yes,No/blank,A few times per week,Driving,Biking,Walking,BART,ACT,Other,,1,5,4,2,3,6,"shops, connections to other areas,",less traffic,Disagree,Disagree,Agree,Disagree,No,TransitBikingWalking,,Driving,,,3,1,1,1,lower speed,reliablity,protected bike lanes,ease of crossing,The street should be more inviting to pedestrians.,,
18,United States,Berkeley,CA,94611,94720,Yes,No/blank,Yes,Yes,Yes,Daily,Biking,BART,Walking,ACT,Driving,Other,,5,4,2,1,3,6,"That they recently repaved it, and that there are bike lanes.","The bike lane should be continuous from UC Berkeley to downtown Oakland, right now there are a number of breaks in places where bike lanes are critically needed.",Disagree,Disagree,Agree,Disagree,Yes,Biking,TransitWalking,,Driving,,4,2,1,2,,United States,Need bike lanes between 40-55th,,,,
19,United States,Berkeley,CA,94704,94704,No/blank,No/blank,No/blank,Yes,Yes,Daily,ACT,Walking,BART,Biking,Driving,Other,,5,1,3,4,2,6,"The small businesses, the good public transit service, and crosswalks that make crossing the street easier.","Cars slow down– they move much to fast as it is today. This makes outdoor dining less pleasant and makes me scared to cross the street, even when there are crosswalks (and the crosswalks DO help, but don't do enough). I've talked to business owners and they say the same, that cars drive too fast and hardly stop for pedestrians.  I also wish the bike lanes were wider, possibly protected from cars by physical separation like they do in Europe. I see lots of people biking on the street, I don't know how they do it but it would be safer for them. I would be more likely to ride my bike down Telegraph and visit businesses more often if it were easy and safe to zip on down on my bike. The separated bike lanes would also make my bus trips more relaxing since the buses would not constantly be jerking left and right to navigate around folks biking. (the ""leap-frogging"" between bikes and buses are an other reason why I don't bike much on Telegraph today).",Disagree,Strongly Disagree,Strongly Disagree,Disagree,No,BikingWalking,Transit,,Driving,,4,2,1,1,More signalized intersections and force people exiting driveways to make a right.,"Bright, bold bus stops that protect people waiting from the rain and provide shade. Bus shelters.",protected bike lanes that separate bikes from cars/buses physically.,More bold zebra crosswalks (not just the two painted lines). More street trees to make the sidewalks more interesting and pleasant.,Vision Statement should prioritize sustainability and safety.,"College Avenue in Berkeley/Oakland: Cars move slowly on this street which makes walking and outdoor dining more pleasant. College Avenue isn't great for buses or bikes, but it shows that a business corridor can function just fine when cars move slower. I also like the curb extensions to shorten crossings.  Valencia St in San Francisco: This street is better for bikes than Telegraph is today, and I think that's because the bike lanes are wider and the cars move slower. Valencia St however does not physically separate the bikes, which leaves biking still being somewhat dangerous and scary.  Shattuck Ave in Berkeley's gourmet ghetto: I like the street trees and the mid block crossing by Cheeseboard Pizza. The street has a nice atmosphere that I think Telegraph could emulate.","San Francisco has a lot of parklets, why doesn't Oakland?  Slow the cars down, it's dangerous as it is today. Valencia St and College Ave show that business corridors can thrive when cars move slow.  Physically separate bikes from cars/buses. This would remove conflict, especially with buses (and Telegraph Ave has a lot of buses running on it) and encourage people to bike, and we all benefit when more people bike!"
20,United States,Emeryville,CA,94609,94611,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,,ACT,DrivingBARTBiking,Walking,,,Other,3,2,3,3,4,,"I like that at 40th St, there is a lot of great stuff around me.","I wish there was more food buying stuff between 30 and 40th.   BRT would be nice, like a 1R that didn't suck.",Agree,Agree,Agree,Agree,Yes,Driving,Walking,,TransitBiking,,1,4,4,2,Parking is fine,Less bunching of busses,wider bike lanes,perception of safty,"People do speed, that's right.","San Pablo in Berkeley, it's got trees.",Have a nice day
21,United States,Berkeley,CA,94618,94612,Yes,No/blank,Yes,Yes,Yes,Daily,Biking,Walking,Driving,ACT,BART,Other,,3,4,5,1,2,6,"The place I live, the place I work, and the places I shop and go out are all on or accessed from Telegraph",Bike lanes!,Disagree,Strongly Disagree,Agree,Disagree,No,Biking,Walking,Transit,Driving,,4,3,1,2,Make cars go slower for their own safety (and others'),"Keep 1 and 1R on time, keep buses and bikes separate",put bike lanes apart from buses and parking,make crossing the street safer,,"More like College or Piedmont, but with more space for bikes (like Piedmont is now) and with shopping and businesses",
22,United States,,,94611,94710,No/blank,No/blank,No/blank,Yes,No/blank,A few times per month,Driving,,,,BART,,ACTBikingWalkingOther,1,,5,,,,Genova's,"Better lighting for crosswalks (it's hard to see pedestrians), wider lanes, diagonal parking spaces on one side (or middle?) of the street, buffered bike lanes on the other (away from parking).",Strongly Disagree,Strongly Disagree,Disagree,No Opinion,No,,BikingWalking,DrivingTransit,,,3,3,2,2,Better signal and cross walk markings and lighting.  Easier parking assess,,Buffered bike lanes.  Bike phase signals to avoid vehicle turn movement conflicts,Lighted cross walks.  Ped buttons,,"I like the parking on S. College Ave/287 in Ft. Collins, CO (center diagonal parking accessible from both directions).  Makes parking easy, frees up right shoulder lanes for protected bike lanes w/o sacrificing parking accessibility.  Linden St. Cycle track in Seattle is nice as it is protected.  Dearborn St. Chicago also.  San Francisco has some nice buffered lanes on Caesar Chavez.  Protection from vehicle movement is critical for bicyclists of all ages/abilities to feel confident and SAFE.",
23,United States,Oakland,CA,94612,94612,Yes,No/blank,Yes,Yes,No/blank,Daily,,,DrivingBiking,ACT,Walking,BART,Other,3,4,6,3,5,,"Latham Square, as it is the start of walkable streets. I also believe the reason why the corner of Telegraph and 18th is such a popular destination is the fact that the corner is cut off by Rudy's. This creates a spacial perception of a square.",Make a full car free pedestrian zone from Latham Square up to 18th street. There is no need for cars there. I'm sure that a full traffic analysis would show not much negative impact to traffic flow.,Strongly Disagree,Strongly Disagree,Agree,No Opinion,No,Walking,Biking,Transit,Driving,,4,3,2,1,,United States,,,,Anything with tree lines really. Telegraph looks naked.,"Aesthetics is a big issue. While there are businesses opening up left and right, a city incentive to make aesthetic improvements to business/building facades would massively help residents and visitors to feel  the value of the place and/or invest in and form or shape."
24,United States,Oakland,CA,94611,94607,Yes,No/blank,No/blank,Yes,No/blank,A few times per month,Biking,ACT,BART,Walking,Driving,Other,,5,2,3,1,4,6,"Mix of businesses, spans several distinct, interesting neighborhoods",High speed traffic,No Opinion,Disagree,Strongly Agree,No Opinion,No,Transit,Walking,Biking,Driving,,4,1,3,2,"Slower speeds, discouraging using Telegraph for longer distance trips (e.g. as an alternative to I-80)","Reliability improvements, speed",Bike lanes - possibly buffered bike lanes that go behind bus boarding islands,Crossing distances are quite wide; turning vehicles often do not see peds at 51st/Telegraph intersection - maybe ped leading signal needed?,Looks good,,
25,United States,Oakland,CA,94610,94612,No/blank,No/blank,No/blank,Yes,No/blank,A few times per week,Walking,Biking,,BART,,Driving,ACTOther,6,,4,2,1,,"Shops, restaurants and bars",Width of roadway,Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Walking,TransitBiking,,Driving,,4,2,2,1,,BRT or Tram is needed,bike lanes,narrower cross section,,Piedmont ave.,
26,United States,Berkeley,CA,94610,94612,No/blank,No/blank,Yes,Yes,Yes,Daily,Biking,Walking,ACT,BART,Driving,Other,,5,3,4,1,2,6,,,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Biking,Transit,Walking,Driving,,4,2,1,3,,,bike lanes needed,,"I don't know what the past planning and design work entailed, so can't necessarily support a commitment to build on past work","Valencia in SF - bike lanes, interesting businesses, quirky, varied feel.","Except in Temescal, this stretch of Telegraph feels like a corridor connecting destinations and not a destination unto itself."
27,United States,Oakland,CA,94610,94607,Yes,No/blank,Yes,Yes,No/blank,A few times per week,,Driving,BART,ACT,Walking,Biking,Other,2,4,3,6,5,,,,Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Driving,Biking,Walking,Transit,,1,4,2,3,,Remove parking so buses can travel faster,Repave Telegraph between 51st and 45. Improve the Telegraph/Shattuck intersection,,,,
28,United States,San Francisco,CA,94609,94103,Yes,No/blank,No/blank,Yes,Yes,Daily,Walking,BART,Biking,ACT,Driving,,Other,5,4,2,3,1,,"Transit frequency, restaurants, BART","Better pavement, bike lanes, more commercial activity, more people on the street (especially after dark), better lighting under highway overpasses.",Agree,Disagree,Agree,Disagree,No,Transit,Biking,Walking,Driving,,4,1,2,3,Time lights at Claremont & Telegraph with lights at 55th & Telegraph,"Extend 1R hours into evening and on weekend. Provide NextBus and shelters at more stops (eg NB 49th St. & Telegraph, SB 40th St & Telegraph)","better pavement conditions, colored bike lanes, lighting under highway overpasses-- across corridor","move NB bus stop at 49th & Telegraph forward so that peds crossing Telegraph don't have to walk around bus when it blocks the intersection as it stops. Very unsafe. Also, better lighting under highway overpasses.","I don't like identifying people as ""cyclists, pedestrians...motorists"" -- most people use multiple modes and this pegs modes against each other. Instead, i suggest saying ""Plan will consider the design and operation of Telegraph Avenue for walking, biking, transit, and motor vehicle trips....""",,
29,United States,Oakland,CA,94609,94609,Yes,Yes,Yes,Yes,Yes,Daily,Walking,Biking,Driving,BART,,,ACTOther,3,,4,2,1,,Street life,"Better pavement, less muggings, proper bike lanes",Agree,Strongly Disagree,Strongly Agree,Agree,No,Biking,Walking,Transit,Driving,,4,3,1,2,badly placed bus stops block traffic on side streets,,bike lanes,traffic calming,,40th street with new bike lanes is good,"Some of the crosswalks, eg 50th St, are very dangerous; many cars blow through this one.  Traffic calming measures might help, and would also make the two sides of Tele seem more connected"
30,United States,Orinda,CA,94619,94612,No/blank,No/blank,Yes,Yes,No/blank,Daily,Biking,Walking,ACT,Driving,BART,,Other,4,3,5,1,2,,Diversity of cultures seeing and visiting new restaurants and bars opening History Potential for a great street Commonwealth The new Latham square,Better for bikes More pedestrian activity More trees,Disagree,Strongly Disagree,Agree,Disagree,No,Biking,Walking,Transit,Driving,,4,3,1,2,,,,,,,
31,United States,Oakland,CA,94609,94102,Yes,No/blank,No/blank,Yes,Yes,Daily,BART,Walking,Biking,Driving,,,ACTOther,4,,1,3,2,,Diverse restaurants and shops. Vibrant streetlife.,"Improved pedestrian crossings with bulbouts, clearer crosswalks, and longer walk times. More pedestrian signals like the one near Burma Superstar. More street trees and less pavement at lower end (below 45th Street). Faster buses.",Disagree,Disagree,Strongly Agree,Agree,No,Walking,Transit,Biking,Driving,,4,2,3,1,The road works fairly well for drivers.,More frequent bus service.,The lack of bike lanes and fast moving cars makes this stretch seem dangerous for cyclists.,"It is difficult to cross the street in many locations. It is ridiculous that one needs to press the ""beg"" button to get a walk signal in many locations. It is also too dark at night in some locations. In some locations, the time allowed for pedestrians to cross the street is ridiculously short if one doesn't arrive in time to press the ""beg"" button.",I would add something about how improved pedestrian and bike safety would result in more customers for the merchants in the area.,,
32,United States,Emeryville,CA,94618,94710,Yes,No/blank,No/blank,Yes,Yes,Daily,Biking,Driving,BART,Walking,,,ACTOther,2,,3,1,4,,"Great restaurants like Pizzaolo, Dona Tomas, Mixing Bowl, Juhu Beach Club, Burma Superstar, Aunt Mary's Cafe, Whole Foods (in Berkeley).   Telegraph is also a quick way to drive or bike to Berkeley or MacArthur BART or other neighborhoods.","- Better bike lanes / safe biking  - More cafes, bookstores, open shops rather than closed down businesses.  - I HATE the development on the corner of 51st / Telegraph - the parking lot / old video store corner. It's dark at night, and ugly during the day.",Disagree,Disagree,Agree,Agree,No,Biking,Transit,Walking,Driving,,4,2,1,3,Right lane turning from Telegraph onto 51st towards Shafter could be a right-turn only lane with a light to protect pedestrians.,,Better bike lines or clearly marked lanes.,,,"Valencia Street.... similarly wide, lots of traffic lights, but good for biking.",
